id,estimator,pipe,total_folds,fold,loss,metric
87655922,LinearRegression,pipe7,5,3,3.221722624064149,0.702949718777989
51451627,LinearRegression,pipe7,5,4,3.010289457847541,0.7238558622361753
83006476,LinearRegression,pipe7,5,5,3.376381537681262,0.7221284994784494
47408482,Ridge,pipe7,5,1,3.5439028153442367,0.6746959421410873
16495449,Ridge,pipe7,5,2,3.3671116256049256,0.6783798717240398
69586911,Ridge,pipe7,5,3,3.221645972107241,0.702751596520304
22445525,Ridge,pipe7,5,4,3.0103347920437966,0.7240804972918711
3216612,Ridge,pipe7,5,5,3.37107435403934,0.7220086478101492
28868081,Lasso,pipe7,5,1,3.3271291500610225,0.7076325245697996
43538675,Lasso,pipe7,5,2,3.3530307101514767,0.6742026289694665
50395758,Lasso,pipe7,5,3,3.4936645162651723,0.6713868289616951
18322564,Lasso,pipe7,5,4,3.0823766189260287,0.7038057196472827
50593024,Lasso,pipe7,5,5,3.6642895533371975,0.672689958348953
91926028,SVR,pipe7,5,1,2.723393365659536,0.7709515599933988
93462374,SVR,pipe7,5,2,2.926332621003392,0.6993112169456077
16012902,SVR,pipe7,5,3,2.9688233132151747,0.710141911391273
78961010,SVR,pipe7,5,4,2.688554216193172,0.7514876812926066
52260097,SVR,pipe7,5,5,3.0024863839649085,0.7580167330872988
24615173,RandomForestRegressor,pipe7,5,1,2.955606101271025,0.7075851267008476
42725928,RandomForestRegressor,pipe7,5,2,2.9187241924380047,0.7081612118376678
82279050,RandomForestRegressor,pipe7,5,3,3.087745356008963,0.7210146526813284
18922542,RandomForestRegressor,pipe7,5,4,2.4694758809731274,0.8091251578238734
63054,RandomForestRegressor,pipe7,5,5,2.7842683072348744,0.8061711593315279
74491011,ExtraTreesRegressor,pipe7,5,1,2.8446982157882763,0.758105293007307
41246067,ExtraTreesRegressor,pipe7,5,2,2.7743701571191526,0.7347722480457259
27848632,ExtraTreesRegressor,pipe7,5,3,3.0841261458859006,0.7152242764412943
11755777,ExtraTreesRegressor,pipe7,5,4,2.62865260586966,0.7835731213867009
7864409,ExtraTreesRegressor,pipe7,5,5,2.7186400310560974,0.8122455765710624
10808418,AdaBoostRegressor,pipe7,5,1,2.7281583727492453,0.7695532462880779
96744429,AdaBoostRegressor,pipe7,5,2,3.319015804027712,0.6785983778914763
57640729,AdaBoostRegressor,pipe7,5,3,3.2396968526342595,0.6993540653024609
95616822,AdaBoostRegressor,pipe7,5,4,2.667370849559393,0.8018750531947554
56284633,AdaBoostRegressor,pipe7,5,5,3.088804104484276,0.7719370887516589
